Mixture	Endothelial	CAFs	PVL	B-cells	T-cells	Myeloid	Normal Epithelial	Plasmablasts	Cancer Epithelial	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-A2-A0T0	0.542869179171893	1.58404173793294	0.570583612611838	0	0	0.460954089578528	3.45434828683277	0.346031440625272	1.46284246115929	0	0.346658303210751	0.967716098136969	8.42167080791253
TCGA-A2-A0T2	0.710649920400866	0.880410003479179	0.991793838929285	0.0354148268500841	0	0.387526873749142	3.82120914313558	0	1.76423416486023	0	0.574988189886012	0.818315523184623	8.59123877140436
TCGA-A2-A0YE	0.729997752632524	1.54322894408313	0.558920194472314	0	0	0.0236273080755273	2.92538702995364	0.625285211399556	2.04554970059713	0	0.332638107632286	0.970878987197658	8.45199614121383
TCGA-A2-A0YJ	0.194340540867082	0.409531219268792	0.483938098963175	0	0	0.138834614085573	4.57551760190421	0.124411358014024	1.90385022609291	0	0.246395751078541	1.03374631687872	7.83042365919577
TCGA-A2-A0YM	0.578293450608896	1.02529196187699	0.0715773780434783	0	0	1.33972482663112	3.30575631322809	0	1.50428116591718	0	0.37168204920575	0.944813950019402	7.82492509630576
TCGA-A2-A1G1	0.936205827212035	2.83354372108164	1.05074715140523	0	0	1.10890968081783	1.39804620856514	0.608402034758563	1.04283887086069	0	0.300727247491025	1.02936047677378	8.97869349470112
TCGA-A2-A25F	1.1510900996636	4.01340697702318	0.0446298091911616	0.340958151045394	0.997561213641172	2.72653899636531	0.0804083491161124	0.175182264314088	0	0	0.515459265500944	0.904728630740694	9.52977586036003
TCGA-A2-A3XT	0.60443533348817	0.666562943966969	0.22938273315325	0	0	2.05610295579189	2.29955472879894	0.0155704537864664	1.32321528460978	0	0.369829629284767	0.943084948474406	7.19482443359547
TCGA-A2-A3XU	0.300036626546045	0.0152942188970978	0.200323956070845	0	0	0.0496491856787052	4.75529467464778	0.072846520723675	2.18407870222951	0	0.644732478082584	0.764439476246833	7.57752388479366
TCGA-A2-A3XX	0.606676516468692	0.688134612028884	0.882764512708444	0	0	0.406513244547407	3.83877807502422	0.560964067636161	1.12027085157815	0	0.385760262050629	0.93745151714242	8.10410187999196
TCGA-A2-A3Y0	0.56825998693091	0.478017468553209	0.31246316908184	0	0.0575970106239199	1.27424346284628	1.1917959027473	0.421198087005425	3.57910135967614	0	0.252181460509521	0.997981365336576	7.88267644746502
TCGA-A2-A4S1	2.55520787490026	10.1150514732839	3.1273649130062	0	0	4.65651944421097	0	0.285115119225843	0	0	0.371806309148551	1.10265610940872	20.7392588246272
TCGA-A7-A0CE	1.08907613335308	0.763470794916882	0.494842926366714	0	0	0.0887489181693832	3.85208056435818	0.0455009472035376	1.43172635069523	0	0.475280266455573	0.885884150721565	7.76544663506301
TCGA-A7-A0DA	0.617734372252908	3.03712591006447	1.62355926322435	0	0	0.0984336549757502	2.43733907572729	0.108857350016564	1.23152943277752	0	0.389813466793373	0.995464921659567	9.15457905903885
TCGA-A7-A13D	1.03575378230715	1.30075261465342	0.838075465775611	0	0	0	4.55111718753716	0.174112064533514	1.75372863875584	0	0.392571213026857	0.941280895827843	9.6535397535627
TCGA-A7-A13E	0.162725608906612	1.00527505338087	0.495960878473558	0	0	0.139024335487617	3.66271700819646	0.250291181888456	1.46330597129115	0	0.295503884463954	1.00253823882402	7.17930003762472
TCGA-A7-A26F	1.07058110589239	3.41808351831499	0.228887529776462	0	0	0.596701536661574	3.27881910910653	0.489513400660217	1.41564105124548	0	0.331478297811459	1.00573143460646	10.4982272516576
TCGA-A7-A26G	1.45232890361825	4.62419235892523	0.826466390211366	0	0	0.413416257275041	2.8943799246139	0.493222127332915	0.727724155426426	0	0.36519686277863	1.02598439845969	11.4317301174031
TCGA-A7-A26I	0.822692178219597	3.16776432676402	1.10657684708819	0	0	0.378923393619923	1.81471265401565	0	1.74568187691405	0	0.391374103800242	0.988056931560935	9.03635127662143
TCGA-A7-A4SD	0.37384301480642	2.61335829077968	0.432511205450297	0	0	0.692243371854632	1.59539533380329	1.12845158530342	2.08477706526762	0	0.394126179256456	0.94485049006695	8.92057986726536
TCGA-A7-A4SE	1.0998224578159	3.48790137610533	1.80926493846383	0	0	0.36637217460242	1.50526536695854	0	1.26498293984084	0	0.402870893600551	1.00301027023192	9.53360925378685
TCGA-A7-A5ZV	0.617754301875891	0.27439356687168	1.24674949518644	0	0	1.16706886809588	3.40317057018356	0.773573738508818	1.6500650649483	0	0.239025490688838	1.00564752068258	9.13277560567057
TCGA-A7-A6VV	0.799265389046877	3.27752538725374	1.57634465623566	0	0	0.993455622768866	2.44236143131237	0	1.54994046961197	0	0.375608472166487	0.986980832453562	10.6388929562295
TCGA-A7-A6VW	0.361349280217909	0.790260676722493	0.323036086373582	0.00771920012976406	0	0.818002492608799	3.04974890911392	0.117917841140597	2.66709951246322	0	0.449324595078058	0.896967114305694	8.13513399877028
TCGA-A7-A6VY	0.225822959914905	1.76341615503508	0.651959972899175	0	0	1.07754054196858	2.55748862914364	0.804466787246721	1.69279098676683	0	0.403923494781859	0.926603573429131	8.77348603297494
TCGA-A8-A07O	0.52886453758132	1.06247278212247	0.09361249344202	0	0	0.448547103883586	2.27526204767247	0.616397985873658	2.42962553320173	0	0.241140153366253	1.00697590727431	7.45478248377725
TCGA-A8-A07U	0.852823584363857	1.75815462070429	0.109783760380532	0	0.141553349667564	0.995185273140162	1.62430048160827	1.58947861693059	1.28579384191019	0	0.395819141707108	0.923807834380968	8.35707352870546
TCGA-A8-A08R	0.557019855361567	1.62309528428287	0.615966607250302	0	0	0.944659402512612	3.30558651663895	0.603335639762507	0.905788612907222	0	0.400799363757491	0.931891067878886	8.55545191871603
TCGA-AC-A2BK	0.574240681427314	0.0272393188909711	0.118163290437029	0	0	0	3.01389134231854	0.287095983479468	2.44189154482553	0	0.460397612867514	0.893045083376478	6.46252216137885
TCGA-AC-A2QH	2.21206089004327	6.6734625401965	0.644016424429217	0	0	0.513846765236543	0	0.762433366832188	0.205581354328528	0	0.309887756747117	1.21439867299141	11.0114013410663
